stopwords
20h
20minutes
actu
actualite
actualites
actuelles
afp
afpfr
amaurybrelet
andrebercoff
annonce
arthur_crpt
baba
bastamedia_
bfm
bfmtv
blast_france
blog
bourdin
breakinginfosjr
brevesdepresse
bvoltaire
candidats
caroline_roux
cavousf5
cdanslair
cdanslairpresidentielle
challenges
cnews
didiermaisto
dossier
echos
edwyplenel
electionspresidentielles
elimartichoux
elkrief
ericrevel1
europe1
f_desouche
figaro
france2tv
france5tv
franceinfo
franceinfoplus
franceinter
francetele
ggrmc
hanouna
hugodecrypte
humanite_fr
info
infofrance2
information
interpolitique
invite
invitee
itrippenbach
journal
jt
l_insoumission
lapresidentielleentempsreel
laurentguimier
lavoixdunord
lci
lcp
le_figaro
le_gorafi
le_parisien
leasalame
lejdd
lemediatv
lemondefr
leparisien_pol
lepoint
lesechos
libe
liberation
limportant_fr
lobs
lopinion_fr
lpldirect
m6
media
mediapart
midilibre
minute
morandiniblog
mtwit75
nicolasberrod
ouestfrance
parisien
parismatch
pascalpraud
paul_denton
plateau
point
presidentielle
presidentielle2022
presidentielleentempsreel
presidentielles
presidentielles2022
programme
programmes
publicsenat
quotidien
rclmt
recap
recapdela
rediffusion
replay
reportage
rfi
rmc
rmcinfo
rtl
rtlfrance
rtlpresidentielle
ruthelkrief
salomesaque
semaine
somabrouk
sudouest
sudradio
tanguy_france
tele
tf1
tf1info
tpmp
tv
valeurs
var_matin
voici
youtube
